LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Osuna Enciso et al.
3.995161653201515e-08,0.27039401242939537,0.27039401242939537,0.7156376664552951,0.27039401242939537,0.7156376664552951,1.7978266011792432e-08
3.817322303830578e-08,0.26140353044854603,0.26140353044854603,0.6918090097037467,0.26140353044854603,0.6918090097037467,1.371888851025421e-08
3.975899645353727e-08,0.2624308139904948,0.2624308139904948,0.6976671001635268,0.2624308139904948,0.6976671001635268,1.7462489956978365e-08
8.640136932257489e-08,0.2715319126764846,0.2715319126764846,0.7319413504823151,0.2715319126764846,0.7319413504823151,1.806158096210686e-08
5.5619245812110486e-08,0.27131044507903207,0.27131044507903207,0.6943602256665207,0.271310445079032,0.6943602256665207,1.7617367595626586e-08
4.173425164451304e-08,0.25638052961128205,0.25638052961128205,0.6111438967136147,0.25638052961128205,0.6111438967136147,1.4267262545590133e-08
5.35411780525166e-08,0.2550772566991569,0.2550772566991569,0.5767999640344373,0.2550772566991569,0.5767999640344373,1.3776556058107473e-08
9.68377756067459e-08,0.26305906389098416,0.26305906389098416,0.630712816677573,0.26305906389098416,0.630712816677573,1.5196393600195975e-08
5.754323333673264e-08,0.26436782423964866,0.26436782423964866,0.6047037148026062,0.26436782423964866,0.6047037148026062,1.593447515547363e-08
8.798185453015e-08,0.26760747678264474,0.26760747678264474,0.6425125648555479,0.2676074767826448,0.6425125648555479,1.84722364180054e-08
9.331132535228114e-08,0.26197455682759796,0.26197455682759796,0.6186605012964566,0.261974556827598,0.6186605012964566,1.3348218594927098e-08
5.786068926238217e-08,0.2586555313347093,0.2586555313347093,0.6144654033024785,0.25865553133470937,0.6144654033024785,1.4912193331362614e-08
1.7674995186243917e-08,0.26044827021231465,0.26044827021231465,0.6313716382141484,0.26044827021231465,0.6313716382141484,1.5168251848599122e-08
2.910230001136854e-08,0.2691581652233303,0.2691581652233303,0.7573368679457095,0.2691581652233303,0.7573368679457095,1.81927625941747e-08
3.822067295171735e-08,0.2634215576893462,0.2634215576893462,0.65701729115349,0.26342155768934616,0.65701729115349,1.670280101567269e-08
2.8398779376413786e-08,0.2655907972710487,0.2655907972710487,0.6894552589972567,0.2655907972710487,0.6894552589972567,1.6761150200295937e-08
3.899216061727187e-08,0.2691040628035061,0.2691040628035061,0.7068078972383433,0.26910406280350607,0.7068078972383433,1.8240961689442724e-08
3.9476201316452704e-08,0.2738360881863711,0.2738360881863711,0.7609306176084099,0.2738360881863711,0.7609306176084099,1.891383225757827e-08
3.8315462980829495e-08,0.26350351172198067,0.26350351172198067,0.7052624756548994,0.2635035117219807,0.7052624756548994,1.810574075078129e-08
5.391356223534299e-08,0.270543369920859,0.270543369920859,0.663248222139048,0.270543369920859,0.663248222139048,1.858012157249512e-08
3.913147034504487e-08,0.2711581227533823,0.2711581227533823,0.713104949874687,0.27115812275338225,0.713104949874687,1.942387847725686e-08
3.836000110888216e-08,0.2696783718396777,0.2696783718396777,0.750551597761209,0.2696783718396777,0.750551597761209,1.9478455802621e-08
2.8367564415560518e-08,0.2697296951669486,0.2697296951669486,0.689274648622428,0.2697296951669486,0.689274648622428,1.7741746522181256e-08
3.9790859831501037e-08,0.26602444789600577,0.26602444789600577,0.6989341906202725,0.2660244478960057,0.6989341906202725,1.8218962503328474e-08
2.187592851558366e-08,0.2649894105490599,0.2649894105490599,0.6816829232064169,0.2649894105490599,0.6816829232064169,1.683631496775084e-08
2.1843005645638464e-08,0.2577266286718793,0.2577266286718793,0.6660388811520705,0.25772662867187934,0.6660388811520705,1.7461018270375374e-08
2.16179846284035e-08,0.26058665185870283,0.26058665185870283,0.6550676915174644,0.2605866518587027,0.6550676915174644,1.3239980667165984e-08
2.8499878176349723e-08,0.25863489868511963,0.25863489868511963,0.6495274315438218,0.25863489868511963,0.6495274315438218,1.4270197831381525e-08
2.1351016825681416e-08,0.25390453812758795,0.25390453812758795,0.6231182459828807,0.2539045381275879,0.6231182459828807,1.83255951136325e-08
1.699578873344038e-08,0.26212212381681455,0.26212212381681455,0.6361907146054708,0.26212212381681455,0.6361907146054708,1.7232673705290114e-08
2.1976716175015398e-08,0.2662255158070382,0.2662255158070382,0.679939423977092,0.2662255158070382,0.679939423977092,1.715201984437357e-08
