LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Zhao et al.,Osuna Enciso et al.
1.6668067998966429e-06,0.28640802955951566,0.28640802955951566,0.8200792893764164,0.28640802955951566,0.8200792893764164,475638.0,484976.0,0.8131883631205346,1.96100202020202,313322729544111437156228487455999418660704081198477145479319763358537261823014410091554018890888864875118425557043041296812343161664126519704671032550875726542832,2.1317929873017946e-08
1.6790485338029749e-06,0.28620972136136574,0.28620972136136574,0.8201973596921854,0.28620972136136574,0.8201973596921854,475105.0,484923.0,0.8126179347213638,1.9588525252525253,317532895429853501225207342685753927382152131249608014791828433523320863975143311138734601611006789983437805692016720525702922305382763494863594132439569474371784,2.1710030825673026e-08
1.676425910033776e-06,0.28602173267614567,0.28602173267614567,0.8353390644445652,0.28602173267614567,0.8353390644445652,474568.0,484938.0,0.8120858179053262,1.9566181818181818,315046821878872677298877045044166167727516602104362646604588109134324259467423707493014980552267971306939709223463640246944059055526582201407025637508096388108544,2.17129040342859e-08
1.6725547403951968e-06,0.2857996563211806,0.2857996563211806,0.8267969315773945,0.28579965632118054,0.8267969315773945,473976.0,484906.0,0.8114769372959296,1.9541616161616162,312353695451969160262864763033242850579232058175671431027321451261710212585112640605332423436063371339028029501212670200850132759969161141042583752586857792425384,2.1487674928793046e-08
1.6814017455315303e-06,0.2859076596012857,0.2859076596012857,0.8434372096201147,0.2859076596012857,0.8434372096201147,473220.0,484763.0,0.8117452052550415,1.9510949494949494,314369993667140719614809317450415913949321256261550267893529947606320392762110296164452069596810462964882372960709228202151196283394036971366170758942252405798518,2.1212163894499288e-08
1.6794536021252448e-06,0.2856184704484983,0.2856184704484983,0.8347008130081303,0.2856184704484983,0.8347008130081303,472440.0,484704.0,0.8109240934208234,1.9478626262626264,315949251800468086730014571341498032812956404210528008614566956291108755978577544854963399839362706867951157236459796413780874847361165139359204315252020441623564,2.1102086558757023e-08
1.6976266871917102e-06,0.28536390259371863,0.28536390259371863,0.8224000828467201,0.2853639025937186,0.8224000828467201,471674.0,484658.0,0.8102221182890503,1.9447272727272726,321392033255837682529319053298461158746440081819109023750124827599389961466459524598518812610611048893928359151323816632928712296149900061570659233531938953623366,2.110654075424094e-08
1.6972671243040541e-06,0.28495862554409607,0.28495862554409607,0.7883463304517353,0.2849586255440961,0.7883463304517353,470949.0,484615.0,0.8090787146312455,1.9417979797979796,321297738821869852233231896908990938602315143414924581337716939792817127849538080628322449937196893815638130390286017727103507494055610342359153715631695925081952,2.0843141234829785e-08
1.7058084714360131e-06,0.28504720147512413,0.28504720147512413,0.784785174210687,0.2850472014751242,0.784785174210687,470267.0,484538.0,0.8093505775893998,1.9389616161616163,320935701538756034632500779532764230400196766489347947583573610006572317014928687650234022967762897697489879942920364306058031495558632315857959818483769516247662,2.0313838136748636e-08
1.7049485737175022e-06,0.28486219772773264,0.28486219772773264,0.7868475180488054,0.28486219772773264,0.7868475180488054,469116.0,484389.0,0.8088364616361936,1.93420202020202,327031224110878893279450528587867256768829991851144711382349582995560843365699806367351100250353896726013285879259566105463821164387297322669402239583189297547706,2.079974006148071e-08
