Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Ours-a=1.0,Ours-a=0.9,Ours-a=0.8,Ours-a=0.7,Ours-a=0.6,Ours-a=0.5,Ours-a=0.4
34,1713.6,34,0.009854111321255242,0.009889588067233519,0.009913279238101987,0.009927581833739103,0.009977396101833829,0.010035953929383952,0.010133048335878102
33,1663.2,33,0.009810022011834908,0.009845385973413662,0.009850050871392046,0.009894889172919998,0.009940340113413828,0.0100071068912868,0.01010416220886833
32,1612.8,32,0.009641687658651294,0.009712533853072795,0.009715810171999245,0.009770690631742377,0.00979222433439011,0.009861046358827199,0.009957896073124589
31,1562.4,31,0.009388874986570386,0.009401097603210165,0.009445019923457906,0.009432007048319061,0.009460566452756294,0.009533330492401237,0.009622963984449364
30,1512,30,0.009367485597511124,0.00939677578076122,0.009382221763599229,0.009383543033569612,0.009413540308470478,0.009452724159493426,0.00957308201654203
29,1461.6,29,0.009047813560969599,0.009050686990618036,0.009063742221258369,0.009048112077011092,0.009079971696025172,0.009132631968794174,0.00923945910710822
28,1411.2,28,0.008858430374081827,0.008897137937754113,0.008872007599052635,0.008849788882791821,0.008872640234818473,0.008915853973220865,0.00900670805213172
27,1360.8,27,0.008940510152588517,0.008931992743289836,0.008935582069516964,0.008956181353989819,0.00895604803234636,0.008975485603507315,0.009091331212452008
26,1310.4,26,0.009150563476638255,0.009141268554536848,0.00914066823665273,0.009130013561524791,0.009120374260830644,0.009157264369063618,0.009259910545136509
25,1260,25,0.009290905025236527,0.009300337395652409,0.009271974401423216,0.009224991254054666,0.009238057723599724,0.00929937697679614,0.009398609370295045
24,1209.6,24,0.009209644594718373,0.009202675637435369,0.009149486925195523,0.009136651280785392,0.009130926290876435,0.00921040376850361,0.00932564289738638
23,1159.2,23,0.009439425647244499,0.009434380763593425,0.009430407202133005,0.00940818472637832,0.00940297474587975,0.009477384527351427,0.009581267980273325
22,1108.8,22,0.00950252419940797,0.009501387457003154,0.009499532675447443,0.009496000641685142,0.009516788699359428,0.009632213446167713,0.009739803652829346
21,1058.4,21,0.009640864043291395,0.009675108707971813,0.009683743813959488,0.009684303764754876,0.009714131783509493,0.009762421800083868,0.009916720283814136
