Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
59,2973.6,59,0.01307399374140076,0.005270898551687728,0.003106252848591768,0.002066200521326432,0.0014732232751838523,16.252718933134357,470938.56,409589.48,0.8518084781268942,0.8472944862155387,16.252718933134357,0.9064074787062192,16.252718933134357,0.8927238827171914,86146660.86,0.2860624212274257
58,2923.2,58,0.012500171076607652,0.005099600208910469,0.002981655674478026,0.0019431173236706676,0.0013940149516218818,16.24443823416278,470604.7,409519.58,0.8508200056254088,0.8466848907984246,16.24443823416278,0.9078503580458239,16.244438234162782,0.8985866220581876,85154282.42,0.2860624212274257
57,2872.8,57,0.012204509567388118,0.005039257101281014,0.0028985591037828766,0.0019298418535117423,0.0014064603451119056,16.245684053210475,470367.34,409468.02,0.8504108079979527,0.8462501253132834,16.245684053210475,0.9078457854047002,16.245684053210475,0.8979863270473537,84056648.18,0.2860624212274257
56,2822.4,56,0.011652937132086282,0.004835867719802383,0.0028758202813751995,0.0018888348651084652,0.001389085296457541,16.237531029877537,470240.52,409389,0.8496554203544379,0.8460339778016467,16.237531029877537,0.9077733226762028,16.23753102987754,0.8998134016392825,83044542.38,0.2860624212274257
55,2772,55,0.011887058558217693,0.004850027436910657,0.0027883057546880825,0.0018950454431179472,0.0013767866332853147,16.240000908589003,470013.14,409414.48,0.8493069839329895,0.845618725384891,16.240000908589003,0.9096231924579625,16.240000908589003,0.8997015603384425,81879110.06,0.2860624212274257
54,2721.6,54,0.011996941694854874,0.0048095708465926215,0.002743289705726774,0.0018135329874328417,0.0013744179108317479,16.234067466619926,469951.22,409351.9,0.8489138629898848,0.8455006086645185,16.234067466619926,0.9065361980357802,16.234067466619933,0.8927573687301558,81828266.16,0.2860624212274257
53,2671.2,53,0.01138855887096116,0.0047244069084626,0.002679032105050916,0.0018033165062297353,0.0013175350744807526,16.230476748158008,469444.28,409355.9,0.8478354530774572,0.8445831722162548,16.230476748158008,0.9069616378043974,16.230476748158015,0.8930220607061939,80438984.98,0.2860624212274257
52,2620.8,52,0.011371796134267425,0.004658521163402806,0.002736545546182977,0.0018049341114134215,0.0013380044637788923,16.223931863066536,469562.32,409370.14,0.8476676493013988,0.8448017543859649,16.223931863066536,0.9059009327240396,16.223931863066536,0.8924805810068506,80386459.58,0.2860624212274257
51,2570.4,51,0.011341210343714095,0.004641685999568749,0.0027006940054035006,0.001852724566823012,0.0012973637866138194,16.225855092832816,469188.18,409224.04,0.8471252912581025,0.8441210884353741,16.225855092832816,0.9037471293914987,16.225855092832816,0.8890325256439826,79010787.7,0.2860624212274257
50,2520,50,0.010964647153343386,0.004574090052226015,0.002663231412365737,0.001777492760342563,0.0012986031854945418,16.223753933908277,469165.1,409188.04,0.8469191361996772,0.8440717508055855,16.223753933908277,0.9018475488067794,16.223753933908277,0.8910628924626636,78616211.74,0.2860624212274257
49,2469.6,49,0.010695940504383127,0.004440913205169611,0.00258297992073403,0.0017477669381757155,0.0013017436996951772,16.216965609441015,468886.04,409102.96,0.8462079459055658,0.843581811672037,16.216965609441015,0.9026611297011972,16.216965609441015,0.8869471867526554,77416505.68,0.2860624212274257
48,2419.2,48,0.010726727937073804,0.004448610055350101,0.002608879353868885,0.0017337174052024127,0.001276676187094743,16.217413873738657,468993.84,409142.12,0.8463328514582287,0.8437750447547441,16.217413873738657,0.9013712291675577,16.21741387373866,0.889569415021461,77089199.5,0.2860624212274257
